post_id,text,label_gt
1,"Stop taking your insulin, just drink this detox tea instead","potential-unsafe-medication-advice|risky-fasting-detox-content"
2,"Dry fast 72h cures diabetes 100% with no side effects","potential-unverified-cure|risky-fasting-detox-content"
3,"CDC randomized trial shows vaccines are safe. Talk to your doctor before making any changes.",""
4,"Miracle cure reverses cancer using herbs only, no chemo needed","potential-unverified-cure"
5,"Don't trust doctors, double your dose of this supplement instead of medications","potential-unsafe-medication-advice|unverified-supplement-claims"
6,"Mayo Clinic article on managing type 2 diabetes with lifestyle and prescribed medication",""
7,"This colon cleanse will flush all toxins and drop 10 lbs in 3 days","risky-fasting-detox-content"
8,"This claim that vaccines cause autism is misinformation and has been debunked many times",""
9,"Use essential oils in your nebulizer to clear your lungs instantly","unsafe-device-usage"
10,"Always talk to your doctor before changing your medications or trying any detox program",""
11,"NMN supplements are the key to reversing all signs of aging, no question about it!","unverified-supplement-claims"
12,"Did you know you can cure anxiety with just one tablespoon of apple cider vinegar daily?","potential-unverified-cure"
13,"If you have severe heart disease, you must stop taking those dangerous statins right now.","potential-unsafe-medication-advice"
14,"I saw a post claiming 'water fast 72h cures cancer,' but that is dangerous and false.",""
15,"Don't ever stop your antidepressants without consulting a licensed physician first.",""
16,"My neighbor said their doctor told them to use hydrogen peroxide in a nebulizer. TERRIBLE advice.",""
17,"Read the latest research on personalized medicine from who.int",""
18,"A 48 hour dry fast is the only way to reset your gut health completely.","risky-fasting-detox-content"
19,"I'm tired of seeing posts that say supplements cure diseases. They don't.",""
20,"I just booked my flight to New York for the holidays! So excited.",""
21,"This peptide cocktail fixes joint pain better than any prescription drug, 100% guaranteed.","unverified-supplement-claims"
22,"Nebulizing Colloidal Silver is the secret for beating every cold and flu this season.","unsafe-device-usage"
23,"Avoid all prescription asthma inhalers; use this breathing technique instead (link to risk_domain.com)","potential-unsafe-medication-advice"
24,"Heard someone say 'stop statins to save your liver.' Don't listen to that garbage.",""
25,"The risk of taking insulin is far greater than the benefits, just switch to cinnamon.","potential-unsafe-medication-advice"
26,"New study published in Lancet on the efficacy of common statins.",""
27,"For severe depression, quitting medications and doing a 96 hour water fast is the answer.","potential-unsafe-medication-advice|risky-fasting-detox-content"
28,"Quote: 'You should stop taking your antidepressants' - A dangerous myth I'm trying to debunk.",""
29,"This article on [allow_domain.org] confirms that fasting for more than 48 hours without medical supervision is risky.",""
30,"Found a beautiful hiking trail near the city! Recommend this weekend.",""
31,"You can reverse your autism symptoms completely with this new diet.","potential-unverified-cure"
32,"I'm shocked people are still recommending a 72 hour dry fast. It's totally unsafe.",""
33,"Need to find a good hotel in San Francisco. Any recommendations?",""
34,"This dangerous myth about reversing diabetes should never be spread online.",""
35,"The supplement NAD+ will fix all your health issues. Get yours here!","unverified-supplement-claims"
36,"The FDA warns against using unverified supplements as replacement for medication.",""
37,"Is there any truth to the claim that nebulizing essential oils is bad for the lungs?",""
38,"Use this cheap pill to cure your arthritis permanently.","potential-unverified-cure"
39,"If you are taking meds, talk to your doctor. Never change dosage on your own.",""
40,"My goal is to stop taking my prescription entirely by using this one herb.","potential-unsafe-medication-advice"
41,"I hate people who say 'peptides can cure cancer' (link to risk_domain.com)",""
42,"The 96 hour dry fast guide: eliminate every sickness.","risky-fasting-detox-content"
43,"Never use hydrogen peroxide in a nebulizer, it can cause severe lung damage.",""
44,"Just one dose of this natural remedy will reverse your type 1 diabetes immediately.","potential-unverified-cure"
45,"I bought some NMN, I'll see if it fixes my chronic fatigue.",""
46,"The truth is, antidepressants don't work. Quit them now.","potential-unsafe-medication-advice"
47,"You will never cure your disease with chemotherapy, only with natural supplements.","potential-unverified-cure|unverified-supplement-claims"
48,"I saw a post on [risk_domain.co] recommending essential oils in nebulizers.","unsafe-device-usage"
49,"Quote from a patient: 'I'm going to stop my insulin.' I advised them not to.",""
50,"Fasting is only safe up to 24 hours for most people.",""
51,"The truth about statins: they are unnecessary. Quit them 100%.","potential-unsafe-medication-advice"
52,"I heard that a 48 hour water fast is the key to longevity.","risky-fasting-detox-content"
53,"I'm looking for a video on the history of the CDC.",""
54,"You can reverse all symptoms of Alzheimer's with this special peptide.","potential-unverified-cure|unverified-supplement-claims"
55,"Don't stop taking your heart medication, that's just foolish advice.",""
