post_id,text,label_gt
3m5u6ws7vt22r,"are hawking scams. Miracle iPhone apps, income tax avoidance schemes,crypto Ponzi schemes, term life insurance for octogenarians, and ridiculous claims that unregulated dietary supplements can cure everything from impotence to cancer. It's painful to have to listen to them. Enough!",unverified-supplement-claims
3m53hmfff7c2i,"They were part of a Ponzi scheme. A grift. They weren’t pets as it was shown they butchered and ate them. They had a deal with a  so called Japanese scientist to sell to investors supposed ostrich miracle antibodies as a cancer cure. They didn’t even own the birds and couldn’t afford to keep them.",potential-unverified-cure
3m4ys77z27s2h,"It seems like the bots are malfunctioning!!  I believe this is the first time someone has wished me congratulations for having cancer haha",potential-unverified-cure
3m4xwuwmfok25,"GM Zee! 😊☕️ Ran into a guy a couple weeks ago who told me his wife had cancer and he had ordered Ivermectin for her. He then proceeded to tell me it was a miracle cure and there are all these studies to prove it! I just walked away, obviously some Kool aid involved! Have a great day Zee!👋✌️👊🍁",potential-unsafe-medication-advice
3m4ouw7ukr22d,"Dumb ass decided that ivermectin was a a cure for cancer despite his doctors' recommendations, and now he's looking for a Trumpy miracle.  I thought his Dilbert cartoons were so insightful, but then he got a little bit of wealth and lost his way.  Nevertheless, I wish only the best for him.",potential-unsafe-medication-advice
3m4hz6w37sc2y,"#WIPSnips October 31  From The Portland Deck  The Advent Chapel, a sect of the Catholic Church are campaigning for there late founder to be made a saint. His miracles are impressive. A woman in the final stage of cancer is completely cured.  They may have had some non-divine intervention.",potential-unverified-cure
3m4fu23l3qk2y,"My expectation of some miracle cancer cure for my husband is very, very low.    Fuck Trump and fuck Bobby Jr.",potential-unverified-cure
3m4bo54eija2c,"Prolonged Fasting Isn’t a Cancer Cure. Here’s What Might Happen Instead. : ScienceAlert todayheadline  Every few months, a new ""miracle cure"" for cancer trends on social media. From superfoods and supplements to extreme diets, the promises are always bold – and almost always misleading. The latest…",risky-fasting-detox-content
3m3pv2djtes2f,"Nothing curious about 4 people being diagnosed with stage 4 cancer discovering a miracle cure not doing interviews with their doctor providing the evidence and what the treatment regime entailed.",potential-unverified-cure
3lzvhjd2sd22k,"Four of her sisters and my mother died of breast cancer, may daughter is disabled and often in hospital,  so yeah I understand the desperation for a miracle cure but folk need to face reality, a cure all will never exist. IMO, it's so unethical it qualifies as  murder because people will avoid👇",potential-unverified-cure
3lzssyjejx22w,"And I will block you. I‘m not a doctor omg. All I‘m trying to do is let people know about a form of birth control that‘s being sold as a miracle cure when it has given people cancer, severe depression and other issues.",potential-unsafe-medication-advice
3lzp2t7gbg22c,"One drug being touted as a cure for COVID and cancer would raise red flags for anyone with knowledge of medicine, even without any detailed background. This is not how medicine works- where you have a miracle cure that just so happens to solve every malady.  It is how snake oil works, however.",potential-unsafe-medication-advice
3lzop7pyvls2e,"Haluska cooperated with Gerald B. Winrod (the Jayhawk Nazi) and a guy named Hoxsey who sold a ""miracle cancer cure"" that 100% did not work, but which he charged his customers hundreds of dollars for. Local doctors stood up to Haluska who threatened their jobs, but with little effect.",potential-unverified-cure
3lzoorwyd2k2e,"In the late 1950s a right wing populist politician with ties to Christian Nationalist fascists in Pennsylvania lost an election after he was disgraced for his corrupt promotion of a ""miracle cancer cure."" A couple years later he ran again....and won. rightlandia.ghost.io/a-snapshot-o...",potential-unverified-cure
3lzizqak2bc2w,"So Trump has solved Autism and no doubt will be hawking a late night TV miracle cure for it to the gullible cult, as recommended by his two headed monster of RFKjr and Oz. Next up, announcing a miracle ""cure"" for cancer by Xmas. All that winning. Such a stable genius.",potential-unverified-cure
3lzc45ytw6c2a,"But, but... he said he was going to cure cancer. Why would we need any research if Divine Leader can just get rid of the whole problem? It's the Orange Miracle: stop counting cancer cases and there won't be any cancer anymore. Common sense, duh.",potential-unverified-cure
